symbol,total_trades,win_rate,profit_factor,net_pnl,net_pnl_pct,avg_win,avg_loss,avg_rr,max_drawdown_pct,sharpe,final_balance,avg_bars_held,total_commission,longs,shorts
HYPE,27,0.7037037037037037,1.007,4.18,0.04,33.45,-78.93,0.424,1.85,0.046,10004.18,1.0,99.28,20,7
XAU,15,0.8,1.605,140.99,1.41,31.17,-77.68,0.401,1.36,3.314,10140.99,1.0,51.63,7,8
XAG,23,0.8260869565217391,2.015,338.21,3.38,35.34,-83.32,0.424,1.52,4.934,10338.21,1.0,85.63,14,9
CL,9,0.6666666666666666,0.744,-61.88,-0.62,29.93,-80.48,0.372,1.73,-2.056,9938.12,1.0,36.04,7,2
