symbol,total_trades,win_rate,profit_factor,net_pnl,net_pnl_pct,avg_win,avg_loss,avg_rr,max_drawdown_pct,sharpe,final_balance,avg_bars_held,total_commission,longs,shorts
HYPE,27,0.7407407407407407,1.239,128.15,1.28,33.25,-76.69,0.434,1.76,1.513,10128.15,1.0,147.11,20,7
XAU,18,0.7222222222222222,0.764,-92.71,-0.93,23.14,-78.72,0.294,2.63,-1.738,9907.29,1.0,154.07,8,10
XAG,25,0.76,1.144,71.82,0.72,30.03,-83.11,0.361,2.76,0.909,10071.82,1.0,204.63,17,8
CL,12,0.75,1.023,5.97,0.06,29.46,-86.39,0.341,1.85,0.153,10005.97,1.0,110.61,9,3
