symbol,direction,entry_price,exit_price,size,pnl,pnl_pct,result,market_state,regime_score,sl,tp1,tp2,entry_time,exit_time,bars_held,commission,strategy,entry_type,e_entry,e_context,e_fit,e_total,e_adx,e_atr_exp,e_vol_ratio,e_ema_dist_atr,e_rsi,realized_r,mae,mfe,hour_utc,e_state
XRP,SHORT,2.06,2.0642,1577.6699025369855,-9.87952603640774,-0.09879526036407739,LOSS,Range,28.069756563445946,2.073707483870082,2.0394,2.01056,,2026-01-16T12:00:00+00:00,1,3.2533124441747576,HMA_Trend,trend_follow,65.68578867300725,43.55760110359809,70.49373356252056,60.48971586903849,20.478527077332014,1.0,1.1454353365308583,1.2757844546967172,38.08728269074885,-0.102,-0.10194174757281509,0.0,12,Trend
XRP,LONG,1.9476,1.9094718091791871,1556.6344582497609,-62.353687038985775,-0.6235368703898577,LOSS,Range,16.809234063563036,1.9094718091791871,1.9684645418547364,1.9976749004513674,,2026-01-20T15:15:00+00:00,1,3.002031378142865,Exhaust_Rev,reversal,73.7702541318996,45.03686510449985,81.23274872723093,67.38898580227908,37.056518019261034,1.0,1.2273893293801041,1.673171537813976,32.88275262123757,-0.914,-0.7548691991252457,0.1461810195131423,15,Reversal
XRP,SHORT,1.8973,1.9086621923747997,1701.6587741572769,-22.57279689615283,-0.2257279689615283,LOSS,Range,14.700365685276829,1.9086621923747997,1.878327,1.8517648,,2026-01-20T21:00:00+00:00,1,3.2382225462102863,HMA_Trend,trend_follow,48.06234643662732,54.07842192270653,84.26088822961049,60.72673162034604,21.956053391914985,1.0,0.4595352253913208,1.1043368343652376,35.59221076867453,-0.299,-0.3083328941126876,0.0,21,Trend
XRP,LONG,1.8956,1.8868516928586134,2551.2400193171043,-27.144004574160583,-0.2714400457416058,LOSS,Range,23.095171121211752,1.8868516928586134,1.915031114835256,1.9422346756046145,,2026-01-25T09:15:00+00:00,1,4.824973296328907,Exhaust_Rev,reversal,78.42912522012499,41.62129325249243,77.11106367939513,66.99135716761626,29.514606528693037,1.0,1.8391582770519879,2.001989616899817,32.79608382817875,-0.225,-0.1904162489579136,0.05403704362319254,9,Reversal
XRP,LONG,1.8296,1.8169,1614.534990632509,-23.448297351316594,-0.2344829735131659,LOSS,Trend,16.679314940990594,1.7897740465264569,1.8495129767367713,1.8773911441682516,,2026-01-25T20:00:00+00:00,1,2.943702971898372,Exhaust_Rev,reversal,73.77840635157871,42.65959139510923,82.53670156649306,67.07025042911218,41.94820526048822,1.0,1.3024894424135567,2.7903388398544267,24.69748893789945,-0.319,-0.3490186370361173,0.1255462723151548,20,Reversal
XRP,LONG,1.7964,1.7838,2466.452601687602,-35.49250268845803,-0.35492502688458033,LOSS,Exhaustion,22.648491700706238,1.756375456553397,1.8164122717233013,1.8444294521359235,,2026-01-29T18:45:00+00:00,1,4.415199909660841,Exhaust_Rev,reversal,77.67768154314379,41.14995752331319,77.35150829929376,66.6215123640396,44.2507604118088,1.0,0.9460015639974506,1.9648658264527785,32.37809079569058,-0.315,-0.31480683887899236,0.08744634413305527,18,Reversal
XRP,SHORT,1.7215,1.7357,1857.8307603032672,-29.592640412530915,-0.2959264041253092,LOSS,Range,13.404225487758648,1.7496201377828944,1.704285,1.6801840000000001,,2026-01-31T00:15:00+00:00,1,3.2114436143667064,HMA_Trend,trend_follow,64.31012719430633,47.56576738130478,85.36883125264988,65.60443046790893,20.37453507935508,1.0,0.7295857970072517,1.4751529096704936,35.373280206181306,-0.412,-0.4124310194597732,0.11908219575951183,0,Trend
XRP,LONG,1.6323,1.6095,2626.699534436566,-64.14637264658384,-0.6414637264658385,LOSS,Exhaustion,10.68025551585345,1.5949359798563774,1.6509820100718113,1.6771368241723474,,2026-01-31T16:45:00+00:00,1,4.257623264056431,Exhaust_Rev,reversal,75.87888046027473,42.55387442618389,89.31974448414655,69.91363785720903,53.406626324750356,1.0,2.0406175741931527,1.6928589327872519,31.115566854352807,-0.61,-0.6102127103122132,0.0,16,Reversal
XRP,SHORT,1.419,1.4206,2234.1211554596143,-6.746598712014285,-0.06746598712014286,LOSS,Trend,12.205742766803501,1.44738,1.4048100000000001,1.384944,,2026-02-07T23:15:00+00:00,1,3.172004861044679,HMA_Trend,trend_follow,69.06963416798993,46.45003450671143,87.7942572331965,67.90114118916836,21.495365796359046,1.0,1.490259709218569,0.9209547660076506,40.22785968509723,-0.056,-0.05637773079633706,0.0,23,Trend
XRP,LONG,1.3462,1.3785088,1667.4700092278838,50.67796726710995,0.5067796726710995,WIN,Trend,65.13472837496344,1.3462,1.3596620000000001,1.3785088,,2026-04-13T23:15:00+00:00,1,3.195987768699415,ADX_Trend,trend_follow,59.502906530065836,79.53967139817219,65.13472837496344,67.20348254396703,20.995306337495656,1.0,0.6814932322396534,0.7401863338607294,57.586096589743974,1.2,0.0,1.240528896152127,23,Trend
XRP,LONG,1.413,1.408998115197477,2255.177080509497,-12.207012520251773,-0.12207012520251773,LOSS,Range,68.77888865664221,1.408998115197477,1.42713,1.446912,,2026-05-05T22:45:00+00:00,1,3.1820536370179244,ADX_Trend,trend_follow,64.77927286057482,70.6196999777808,68.77888865664221,67.73128573455682,21.390217331941663,1.0,1.0679251250433301,0.6688720799892055,57.025615280979544,-0.142,-0.06723283793347533,0.16631280962490894,22,Trend
