symbol,total_trades,win_rate,profit_factor,net_pnl,net_pnl_pct,avg_win,avg_loss,avg_rr,max_drawdown_pct,sharpe,final_balance,avg_bars_held,total_commission,longs,shorts
BTC,26,0.7692307692307693,1.06,33.83,0.34,30.06,-94.58,0.318,1.95,0.383,10033.83,1.0,170.26,16,10
ETH,18,0.6666666666666666,0.658,-166.52,-1.67,26.65,-81.06,0.329,2.66,-2.786,9833.48,1.0,102.44,9,9
SOL,7,0.8571428571428571,2.507,86.4,0.86,23.95,-57.32,0.418,0.57,6.637,10086.4,1.0,40.27,5,2
XRP,24,0.8333333333333334,2.335,341.28,3.41,29.84,-63.9,0.467,1.4,6.207,10341.28,1.0,136.37,8,16
