symbol,total_trades,win_rate,profit_factor,net_pnl,net_pnl_pct,avg_win,avg_loss,avg_rr,max_drawdown_pct,sharpe,final_balance,avg_bars_held,total_commission,longs,shorts
HYPE,87,0.7701149425287356,1.328,691.79,6.92,41.82,-105.51,0.396,2.82,1.928,10691.79,1.0,659.94,62,25
XAU,49,0.673469387755102,0.86,-171.86,-1.72,31.92,-76.59,0.417,2.84,-1.072,9828.14,1.0,301.0,30,19
XAG,63,0.746031746031746,1.065,95.04,0.95,33.35,-92.02,0.362,4.37,0.42,10095.04,1.0,426.74,38,25
CL,39,0.7948717948717948,1.367,253.19,2.53,30.4,-86.16,0.353,2.45,2.108,10253.19,1.0,253.33,17,22
