symbol,total_trades,win_rate,profit_factor,net_pnl,net_pnl_pct,avg_win,avg_loss,avg_rr,max_drawdown_pct,sharpe,final_balance,avg_bars_held,total_commission,longs,shorts
HYPE,27,0.7037037037037037,1.007,4.18,0.04,33.45,-78.93,0.424,1.85,0.046,10004.18,1.0,99.28,20,7
XAU,15,0.8,1.605,140.99,1.41,31.17,-77.68,0.401,1.36,3.314,10140.99,1.0,51.63,7,8
XAG,23,0.8260869565217391,1.929,310.12,3.1,33.89,-83.44,0.406,1.89,4.621,10310.12,1.0,84.76,15,8
CL,11,0.7272727272727273,1.016,3.95,0.04,30.67,-80.48,0.381,1.73,0.113,10003.95,1.0,46.07,9,2
