symbol,total_trades,win_rate,profit_factor,net_pnl,net_pnl_pct,avg_win,avg_loss,avg_rr,max_drawdown_pct,sharpe,final_balance,avg_bars_held,total_commission,longs,shorts
BTC,24,0.75,1.073,39.34,0.39,32.04,-89.56,0.358,1.78,0.473,10039.34,1.0,90.36,14,10
ETH,17,0.5882352941176471,0.514,-267.82,-2.68,28.28,-78.66,0.36,3.77,-4.641,9732.18,1.0,58.52,8,9
SOL,7,0.5714285714285714,0.538,-111.61,-1.12,32.53,-80.58,0.404,1.73,-4.395,9888.39,1.0,26.18,5,2
XRP,24,0.8333333333333334,2.66,415.85,4.16,33.32,-62.62,0.532,1.23,7.452,10415.85,1.0,84.16,8,16
