symbol,total_trades,win_rate,profit_factor,net_pnl,net_pnl_pct,avg_win,avg_loss,avg_rr,max_drawdown_pct,sharpe,final_balance,avg_bars_held,total_commission,longs,shorts
BTC,6,0.5,0.448,-172.28,-1.72,46.67,-104.09,0.448,2.73,-6.034,9827.72,1.0,29.58,5,1
ETH,5,0.8,1.58,61.18,0.61,41.66,-105.44,0.395,1.05,3.26,10061.18,1.0,24.94,0,5
SOL,4,0.5,0.483,-108.13,-1.08,50.46,-104.52,0.483,2.09,-5.529,9891.87,1.0,19.93,2,2
XRP,12,0.6666666666666666,0.912,-36.8,-0.37,47.56,-104.31,0.456,2.56,-0.677,9963.2,1.0,59.34,6,6
