symbol,total_trades,win_rate,profit_factor,net_pnl,net_pnl_pct,avg_win,avg_loss,avg_rr,max_drawdown_pct,sharpe,final_balance,avg_bars_held,total_commission,longs,shorts
BTC,19,0.7894736842105263,1.327,163.47,1.63,44.25,-125.06,0.354,3.1,1.713,10163.47,0.0,670.87,17,2
ETH,7,0.42857142857142855,0.61,-153.66,-1.54,80.03,-98.44,0.813,2.97,-3.841,9846.34,0.0,202.26,5,2
XAU,3,0.0,0.0,-213.46,-2.13,0.0,-71.15,,2.13,-91.535,9786.54,0.0,166.3,3,0
XAG,32,0.625,0.845,-237.42,-2.37,64.91,-127.96,0.507,7.46,-1.181,9762.58,0.0,1064.62,26,6
SOL,26,0.6153846153846154,1.027,28.21,0.28,66.13,-102.99,0.642,4.28,0.194,10028.21,0.0,629.96,11,15
