symbol,direction,entry_price,exit_price,size,pnl,pnl_pct,result,market_state,regime_score,sl,tp1,tp2,entry_time,exit_time,bars_held,commission
XAU,LONG,4516.81,4516.81,0.0,-33.33333333333277,-0.33333333333332765,LOSS,Compression,58.677311819118295,4516.81,4526.295301,4537.135645,,2026-01-11T00:45:00+00:00,0,33.33333333333277
XAU,LONG,4513.0,4513.0,0.0,-66.66666666666669,-0.6666666666666669,LOSS,Compression,50.922880471470016,4513.0,4522.4773,4533.308499999999,,2026-01-11T07:30:00+00:00,0,66.66666666666669
XAU,LONG,4511.6,4511.6,10491473830422.578,-60.48289580932082,-0.6048289580932082,LOSS,Compression,57.02845405915913,4511.6,4521.0743600000005,4531.9022,,2026-01-11T08:45:00+00:00,0,49.991421978898245
