symbol,direction,entry_price,exit_price,size,pnl,pnl_pct,result,market_state,regime_score,sl,tp1,tp2,entry_time,exit_time,bars_held,commission
SOL,LONG,137.16,138.24,101.85185185175672,90.89501100000037,0.9089501100000036,WIN,Compression,54.15166694452228,137.16,137.664,138.24,,2026-01-11T14:45:00+00:00,0,19.10498900000003
SOL,LONG,138.41,140.285,59.31199999996837,95.160765321,0.95160765321,WIN,Sideway,63.127549468302874,138.41,139.285,140.285,,2026-01-11T16:30:00+00:00,0,16.04923467900001
SOL,LONG,139.98,138.80494895016727,46.24981900456468,-66.444555344416,-0.66444555344416,LOSS,Sideway,61.83342881552337,138.80494895016727,141.527,143.29499999999996,,2026-01-11T20:00:00+00:00,0,12.098656968575373
SOL,LONG,139.23,141.86999999999998,42.361933756751554,100.52759040408424,1.0052759040408423,WIN,Sideway,75.79694567538621,140.09358745431047,140.462,141.86999999999998,,2026-01-12T02:15:00+00:00,0,11.307914713781654
SOL,LONG,142.01,142.01,35975448623597.51,23.33167120147497,0.23331671201474968,WIN,Sideway,68.91177354026655,142.01,142.976,144.07999999999998,,2026-01-12T06:45:00+00:00,0,12.643777422122541
SOL,LONG,140.48,143.31499999999997,40.02166688147524,103.09419462960007,1.0309419462960008,WIN,Exhaustion,70.86615456644913,140.48,141.80299999999997,143.31499999999997,,2026-01-12T16:15:00+00:00,0,10.36723097942145
SOL,LONG,144.76,145.75,115.86818312182284,89.8248156918178,0.898248156918178,WIN,Sideway,76.94123720270305,144.76,145.22199999999998,145.75,,2026-01-14T14:15:00+00:00,0,24.884685598903733
SOL,LONG,146.02,146.18121961198443,254.72040893338556,27.74294395192337,0.27742943951923366,WIN,Sideway,75.36943413743242,146.18121961198443,147.44800000000004,149.08000000000004,,2026-01-14T17:45:00+00:00,0,13.32298154108491
SOL,LONG,147.48,146.5,86.39928087974926,-101.16411012953888,-1.0116411012953888,LOSS,Sideway,69.7401629741768,146.5,148.166,148.95,,2026-01-14T22:15:00+00:00,0,16.492814867471893
SOL,LONG,143.74,142.8915150882312,102.9337314951821,-114.78959128908215,-1.1478959128908217,LOSS,Sideway,49.1066751465422,142.8915150882312,144.454,145.27000000000004,,2026-01-16T13:30:00+00:00,0,27.451873203459947
SOL,SHORT,141.97,141.97,36441660130437.305,20.46285479331238,0.2046285479331238,WIN,Exhaustion,42.26984419382501,141.97,140.773,139.40499999999997,,2026-01-16T17:15:00+00:00,0,15.978805337124927
SOL,LONG,144.14,144.01301657313684,171.28433696104352,-50.73139929369238,-0.5073139929369238,LOSS,Sideway,47.57903901522046,144.01301657313684,144.56699999999998,145.05499999999995,,2026-01-17T10:30:00+00:00,0,28.981127218568115
SOL,SHORT,142.7,142.39589304487174,185.99190991913844,25.424727341635293,0.25424727341635295,WIN,Compression,42.49967783926775,142.39589304487174,142.14699999999996,141.51499999999996,,2026-01-18T18:15:00+00:00,0,31.136706062175218
SOL,SHORT,142.32,142.75,243.79431897314564,-148.96754188956672,-1.4896754188956671,LOSS,Sideway,50.93944432320973,142.75,142.01899999999998,141.67499999999998,,2026-01-18T22:00:00+00:00,0,44.135984730868635
SOL,SHORT,141.16,138.41499999999996,41.58891284002286,88.81580811901779,0.8881580811901778,WIN,Sideway,50.93944432320973,141.16,139.879,138.41499999999996,,2026-01-18T23:45:00+00:00,0,25.345757626804733
SOL,SHORT,133.36,134.08,145.728968395033,-128.3565983107519,-1.283565983107519,LOSS,Sideway,42.33076375659415,134.08,132.85600000000002,132.28000000000003,,2026-01-19T16:45:00+00:00,0,23.431741066182592
SOL,SHORT,134.26,133.0,90.68505519002073,87.94978880448461,0.8794978880448461,WIN,Sideway,46.12269755122978,134.26,133.672,133.0,,2026-01-19T22:45:00+00:00,0,26.313380734849982
SOL,SHORT,133.12,134.15,101.9594566673931,-126.88619381356911,-1.2688619381356911,LOSS,Sideway,45.63468168773826,134.15,132.399,131.575,,2026-01-20T01:15:00+00:00,0,21.867953446052127
SOL,SHORT,133.38,131.55,62.49446107119578,96.21786577984192,0.9621786577984192,WIN,Sideway,54.01242846349068,133.1146460023852,132.526,131.55,,2026-01-20T06:45:00+00:00,0,18.146997980382867
SOL,SHORT,127.78,127.78,36789097310505.31,24.272650495147204,0.24272650495147205,WIN,Sideway,49.521946146005874,127.78,126.81400000000001,125.71000000000001,,2026-01-20T20:15:00+00:00,0,12.516446815358108
SOL,SHORT,127.72,127.72,36917859151091.8,17.007702805259797,0.17007702805259797,WIN,Sideway,45.19739778550158,127.72,127.181,126.56499999999998,,2026-01-21T10:00:00+00:00,0,19.910156345832
SOL,SHORT,127.62,127.04571000000001,202.74365526627778,76.83582973614733,0.7683582973614733,WIN,Sideway,45.19739778550158,127.62,127.35199800000001,127.04571000000001,,2026-01-21T11:45:00+00:00,0,39.597824046518696
