symbol,direction,entry_price,exit_price,size,pnl,pnl_pct,result,market_state,regime_score,sl,tp1,tp2,entry_time,exit_time,bars_held,commission
BTC,LONG,90641.37,90707.10828010458,0.3677496636837235,-9.170188131399595,-0.09170188131399595,WIN,Compression,39.59941546969312,90707.10828010458,90831.716877,91049.256165,,2026-01-11T06:15:00+00:00,0,33.345418531009216
BTC,LONG,90936.07,90936.07,35084613306399.973,-15.022261457466563,-0.15022261457466562,WIN,Compression,44.29554935779133,90936.07,91127.03574700002,91345.28231500002,,2026-01-11T15:00:00+00:00,0,50.106874763866536
BTC,LONG,90960.25,90861.48463498995,0.3686320798995985,-86.64190379501248,-0.8664190379501249,LOSS,Compression,38.731633233934836,90861.48463498995,91151.266525,91369.57112499999,,2026-01-11T18:30:00+00:00,0,50.23382186931337
BTC,SHORT,90757.06,90757.06,35079981166230.816,-15.05586780986004,-0.15055867809860038,WIN,Compression,47.868741252252484,90757.06,90566.470174,90348.65323,,2026-01-11T23:30:00+00:00,0,50.135848976090855
BTC,LONG,91013.65,92180.12499999999,0.09484750995298886,90.45975642655819,0.9045975642655819,WIN,Sideway,59.350241357045284,91382.32294267147,91558.00499999999,92180.12499999999,,2026-01-12T02:45:00+00:00,0,20.177492745853748
BTC,LONG,91984.0,91984.0,35589991472416.08,-1.3030208627118114,-0.013030208627118114,WIN,Sideway,51.12297451838978,91984.0,92177.1664,92397.92800000001,,2026-01-12T06:15:00+00:00,0,36.893012335127885
BTC,LONG,91320.0,91320.0,35714556442570.05,19.40422176071419,0.1940422176071419,WIN,Sideway,43.331260848054946,91320.0,92154.092,93107.34,,2026-01-12T21:30:00+00:00,0,16.310334681855853
BTC,LONG,91482.74,91208.29178,0.37310766817994906,-140.4077138641448,-1.404077138641448,LOSS,Sideway,43.203884317720366,91208.29178,91674.85375400001,91894.41233000002,,2026-01-13T01:30:00+00:00,0,38.00897846380542
BTC,SHORT,91286.03,91513.90625724105,0.37017255194592813,-152.2690093576865,-1.5226900935768652,LOSS,Sideway,52.97801812637098,91513.90625724105,91094.329337,90875.24286500001,,2026-01-13T04:45:00+00:00,0,67.91547368688033
BTC,LONG,91747.94,92343.785,0.18559245098740748,70.37484725616869,0.7037484725616869,WIN,Sideway,54.63272181319623,91747.94,92026.001,92343.785,,2026-01-13T09:00:00+00:00,0,40.209486702423526
BTC,LONG,92148.66,92563.32897,0.26961448702596374,72.02441680167505,0.7202441680167504,WIN,Sideway,59.77558758973805,92148.66,92342.17218600001,92563.32897,,2026-01-13T14:30:00+00:00,0,39.77634483045967
BTC,LONG,92462.03,93473.66,0.11173113688808015,90.38032485826966,0.9038032485826966,WIN,Sideway,64.61052556206872,92499.57785412719,92934.124,93473.66,,2026-01-13T16:30:00+00:00,0,22.650245151819483
BTC,LONG,93389.63,94233.74000000002,0.13537797950527575,93.41674876065181,0.9341674876065181,WIN,Sideway,73.53704794712672,93389.63,93783.54800000001,94233.74000000002,,2026-01-13T20:00:00+00:00,0,20.85715751954868
BTC,LONG,94324.84,94749.30178000001,0.2721821485300288,76.1156293206266,0.761156293206266,WIN,Sideway,73.53704794712672,94324.84,94522.922164,94749.30178000001,,2026-01-13T22:00:00+00:00,0,39.41528992865747
BTC,LONG,95386.61,95386.61,29731356928261.14,-0.006566676011829031,-6.566676011829031e-05,WIN,Sideway,72.03350029774006,95386.61,95657.566,95967.23000000001,,2026-01-14T04:30:00+00:00,0,29.737923604272968
BTC,LONG,95170.3,94850.0,0.2659524974591643,-120.93209519554549,-1.2093209519554549,LOSS,Sideway,66.55869338235253,94850.0,95394.51000000001,95650.75,,2026-01-14T11:45:00+00:00,0,35.74751025937464
BTC,LONG,95062.63,95635.57,0.20279920035769042,77.23438038730752,0.7723438038730752,WIN,Trending,80.8934019228404,95179.16058420218,95330.00200000001,95635.57,,2026-01-14T14:30:00+00:00,0,38.9573934656283
BTC,LONG,96428.77,96428.77,37376781070783.64,21.087593795778044,0.21087593795778045,WIN,Trending,82.31325261693696,96428.77,97174.98400000001,98027.80000000002,,2026-01-14T18:30:00+00:00,0,16.28918727500559
BTC,LONG,96316.27,97032.05500000001,0.16468775953267606,93.77744237625748,0.9377744237625748,WIN,Exhaustion,69.81088034197063,96317.04824758983,96650.303,97032.05500000001,,2026-01-15T09:30:00+00:00,0,24.10358558083979
