open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1767225600000,4325.82,4327.57,4325.82,4327.56,0.808,1767226499999,3496.10206,10,0.694,3002.76412,0
1767226500000,4327.84,4327.84,4326.55,4327.32,12.289,1767227399999,53170.75253,14,1.829,7914.72625,0
1767227400000,4327.78,4327.78,4327.51,4327.56,0.082,1767228299999,354.86948,4,0.046,199.07742,0
1767228300000,4328.24,4328.49,4327.56,4328.43,6.575,1767229199999,28458.33646,6,6.090,26359.24810,0
1767229200000,4328.01,4328.01,4328.00,4328.01,0.549,1767230099999,2376.07726,6,0.526,2276.53326,0
1767230100000,4328.01,4328.01,4326.64,4326.91,4.695,1767230999999,20314.26328,10,0.208,900.20408,0
1767231000000,4326.97,4327.14,4326.44,4326.44,1.219,1767231899999,5274.26058,7,0.126,545.20742,0
1767231900000,4326.44,4326.69,4325.04,4325.27,3.802,1767232799999,16445.89525,10,3.783,16363.70410,0
1767232800000,4324.33,4324.95,4324.18,4324.55,8.563,1767233699999,37030.23898,14,6.424,27780.53880,0
1767233700000,4325.74,4326.76,4325.73,4326.09,1.576,1767234599999,6817.45559,8,0.293,1267.54111,0
1767234600000,4326.08,4326.08,4322.02,4322.02,0.688,1767235499999,2974.70229,12,0.162,700.18281,0
1767235500000,4322.02,4322.02,4321.17,4322.02,0.561,1767236399999,2424.63868,11,0.258,1115.08080,0
1767236400000,4321.43,4322.01,4321.16,4321.82,2.071,1767237299999,8950.00427,9,0.128,553.17260,0
1767237300000,4321.46,4324.19,4321.46,4323.78,5.322,1767238199999,23011.97663,14,5.155,22289.97647,0
1767238200000,4324.46,4325.70,4324.46,4325.69,0.488,1767239099999,2110.81570,6,0.408,1764.76050,0
1767239100000,4325.91,4328.44,4321.25,4327.72,2.083,1767239999999,9007.93582,19,0.702,3037.25725,0
1767240000000,4328.41,4329.57,4326.37,4329.57,2.246,1767240899999,9720.71770,22,1.988,8604.32218,0
1767240900000,4330.00,4330.71,4330.00,4330.71,5.931,1767241799999,25684.47245,13,5.326,23064.46915,0
1767241800000,4330.51,4330.51,4329.03,4329.99,3.566,1767242699999,15438.96858,16,0.415,1797.10794,0
1767242700000,4330.39,4330.39,4329.00,4329.00,11.621,1767243599999,50309.71863,20,0.569,2463.89285,0
1767243600000,4329.30,4330.78,4329.02,4330.47,5.435,1767244499999,23534.30456,12,2.816,12194.60402,0
