open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1777593600000,4629.11,4633.39,4621.42,4622.88,3900.404,1777597199999,18044858.47476,12872,1920.266,8884549.11541,0
1777597200000,4622.87,4624.42,4616.75,4622.95,2710.909,1777600799999,12525859.44515,9402,1340.087,6192217.05101,0
1777600800000,4622.94,4637.88,4619.58,4621.60,5711.459,1777604399999,26442081.16300,12295,2648.789,12261462.31352,0
1777604400000,4621.59,4634.21,4620.60,4629.12,4368.161,1777607999999,20217885.10211,9583,2033.512,9409982.18810,0
1777608000000,4629.13,4630.88,4612.60,4612.62,4199.703,1777611599999,19401115.55783,10944,2037.441,9412210.90730,0
1777611600000,4612.63,4619.39,4606.12,4608.01,5680.536,1777615199999,26204766.22681,11852,3166.050,14606861.95415,0
1777615200000,4608.06,4610.72,4593.47,4598.24,9395.296,1777618799999,43217941.73859,21655,4528.478,20830380.96541,0
1777618800000,4598.24,4601.19,4580.65,4582.69,10686.944,1777622399999,49060516.21886,29073,5197.610,23860910.59033,0
1777622400000,4582.68,4586.86,4570.26,4573.20,13908.393,1777625999999,63657328.07438,32944,7790.738,35656901.39278,0
1777626000000,4573.21,4577.37,4565.04,4567.85,10400.758,1777629599999,47555537.15961,26816,5721.072,26160141.04811,0
1777629600000,4567.84,4581.68,4566.72,4571.71,7717.279,1777633199999,35305829.64545,21942,4552.991,20829954.95530,0
1777633200000,4571.71,4583.70,4568.30,4583.26,8836.588,1777636799999,40448284.97024,26801,5065.299,23185980.53486,0
1777636800000,4583.26,4611.34,4580.00,4593.75,30895.587,1777640399999,142027888.45664,58718,13116.631,60281253.27216,0
1777640400000,4593.75,4631.66,4589.12,4629.80,29181.455,1777643999999,134509326.06172,61502,14657.191,67559704.50714,0
1777644000000,4629.79,4661.28,4628.67,4634.35,55120.144,1777647599999,256032455.70878,88314,26094.900,121189964.26567,0
1777647600000,4634.47,4649.25,4621.56,4644.11,22199.755,1777651199999,102952396.04923,45957,11284.487,52323713.62840,0
1777651200000,4644.11,4650.66,4633.01,4639.87,13004.536,1777654799999,60351266.90370,30489,5495.527,25501819.59388,0
