open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1777593600000,4629.11,4633.39,4623.56,4625.32,1288.841,1777594499999,5964429.19538,4355,600.530,2778980.37740,0
1777594500000,4625.31,4631.00,4624.26,4626.61,1000.909,1777595399999,4632420.75610,3275,598.485,2770132.60637,0
1777595400000,4626.61,4627.62,4621.42,4623.07,918.656,1777596299999,4247808.60100,2945,427.515,1977019.79723,0
1777596300000,4623.10,4627.42,4622.61,4622.88,691.998,1777597199999,3200199.92228,2297,293.736,1358416.33441,0
1777597200000,4622.87,4623.00,4618.77,4621.44,960.146,1777598099999,4436444.61744,3035,406.060,1876217.13401,0
1777598100000,4621.44,4621.60,4616.75,4618.30,715.865,1777598999999,3306248.36891,2084,282.968,1306800.83977,0
1777599000000,4618.29,4624.42,4618.29,4621.96,741.759,1777599899999,3428065.90295,2596,475.782,2198924.31090,0
1777599900000,4621.96,4624.21,4621.15,4622.95,293.139,1777600799999,1355100.55585,1687,175.277,810274.76633,0
1777600800000,4622.94,4636.61,4622.19,4633.18,1792.470,1777601699999,8298448.31695,3413,1038.020,4804567.55976,0
1777601700000,4633.18,4637.88,4630.87,4631.50,1679.862,1777602599999,7785757.39070,3245,694.635,3219587.92203,0
1777602600000,4631.49,4633.00,4626.49,4626.96,940.004,1777603499999,4352470.23490,2468,319.099,1477406.21545,0
1777603500000,4627.00,4627.00,4619.58,4621.60,1299.123,1777604399999,6005405.22045,3169,597.035,2759900.61628,0
1777604400000,4621.59,4623.88,4620.60,4623.59,770.586,1777605299999,3561665.45941,2173,409.944,1894719.31453,0
1777605300000,4623.48,4629.37,4623.47,4629.32,1096.135,1777606199999,5070523.48895,2359,743.959,3441309.48506,0
1777606200000,4629.24,4634.21,4627.93,4628.49,1852.543,1777607099999,8581685.19032,3434,665.670,3083487.16808,0
1777607100000,4628.49,4630.78,4628.49,4629.12,648.897,1777607999999,3004010.96343,1617,213.939,990466.22043,0
1777608000000,4629.13,4630.88,4622.50,4624.08,972.686,1777608899999,4500401.60266,2891,458.481,2121493.37221,0
1777608900000,4624.09,4625.76,4620.33,4620.33,452.677,1777609799999,2092805.37849,1907,168.831,780682.79052,0
1777609800000,4620.33,4620.68,4614.96,4616.63,1932.358,1777610699999,8923008.91147,3859,980.662,4528467.33848,0
1777610700000,4616.63,4617.28,4612.60,4612.62,841.982,1777611599999,3884899.66521,2287,429.467,1981567.40609,0
1777611600000,4612.63,4617.40,4610.97,4617.25,2118.585,1777612499999,9775115.59522,3250,1382.993,6381488.82706,0
1777612500000,4617.24,4619.39,4614.78,4617.95,735.838,1777613399999,3397580.30481,1996,463.188,2138747.04934,0
1777613400000,4617.95,4618.44,4613.07,4613.07,879.411,1777614299999,4058744.02055,2592,436.819,2016198.00038,0
1777614300000,4613.07,4616.28,4606.12,4608.01,1946.702,1777615199999,8973326.30623,4014,883.050,4070428.07737,0
1777615200000,4608.06,4610.72,4604.60,4604.79,1640.374,1777616099999,7557339.66740,4465,752.779,3468127.52799,0
1777616100000,4604.79,4605.33,4596.24,4597.08,3501.302,1777616999999,16108137.60342,5984,1582.802,7281884.22294,0
1777617000000,4597.08,4600.36,4593.47,4596.88,2879.397,1777617899999,13235595.38039,5540,1530.745,7036728.36157,0
1777617900000,4596.88,4599.20,4594.20,4598.24,1374.223,1777618799999,6316869.08738,5666,662.152,3043640.85291,0
1777618800000,4598.24,4599.49,4593.12,4599.05,1679.265,1777619699999,7720096.60500,6437,895.434,4116619.09512,0
1777619700000,4599.04,4601.19,4588.99,4595.70,3297.057,1777620599999,15147049.74571,7761,1518.684,6977691.32650,0
1777620600000,4595.70,4595.70,4587.23,4589.32,2011.582,1777621499999,9233346.56504,6285,939.907,4314220.88958,0
1777621500000,4589.32,4589.64,4580.65,4582.69,3699.040,1777622399999,16960023.30311,8590,1843.585,8452379.27913,0
1777622400000,4582.68,4586.86,4578.12,4578.32,4217.335,1777623299999,19325867.24779,9716,2190.615,10039811.16763,0
1777623300000,4578.40,4581.28,4571.54,4572.06,3681.928,1777624199999,16845090.98603,8566,1966.759,8997926.87836,0
1777624200000,4572.06,4577.28,4571.15,4576.21,2970.241,1777625099999,13587470.72546,7800,1904.718,8713221.99544,0
1777625100000,4576.21,4577.57,4570.26,4573.20,3038.889,1777625999999,13898899.11510,6862,1728.646,7905941.35135,0
1777626000000,4573.21,4573.47,4569.36,4570.93,1967.230,1777626899999,8992487.64798,6818,949.070,4338291.97560,0
1777626900000,4570.94,4575.55,4570.00,4574.00,2498.296,1777627799999,11425724.07678,5980,1629.712,7453272.26708,0
1777627800000,4574.00,4577.37,4572.66,4575.51,2144.980,1777628699999,9815326.53124,5615,1312.313,6005105.71928,0
1777628700000,4575.51,4575.58,4565.04,4567.85,3790.252,1777629599999,17321998.90361,8403,1829.977,8363471.08615,0
1777629600000,4567.84,4573.03,4566.72,4572.04,1767.008,1777630499999,8075628.26826,5060,1190.930,5442855.78345,0
1777630500000,4572.04,4577.94,4571.75,4577.67,1453.048,1777631399999,6648374.60926,4975,881.863,4034954.98462,0
1777631400000,4577.68,4581.68,4572.68,4575.23,3081.155,1777632299999,14104859.59450,7095,1840.481,8425942.43890,0
1777632300000,4575.23,4577.00,4571.38,4571.71,1416.068,1777633199999,6476967.17343,4812,639.717,2926201.74833,0
1777633200000,4571.71,4573.63,4568.30,4570.84,1934.980,1777634099999,8844748.43579,6254,996.448,4554648.72138,0
1777634100000,4570.84,4581.31,4569.62,4576.81,2741.120,1777634999999,12547435.49596,7067,1686.757,7720904.47533,0
1777635000000,4576.81,4582.57,4575.59,4580.40,2132.906,1777635899999,9768803.33577,6987,1265.804,5797648.99986,0
1777635900000,4580.40,4583.70,4577.67,4583.26,2027.582,1777636799999,9287297.70272,6493,1116.290,5112778.33829,0
1777636800000,4583.26,4594.52,4580.00,4589.51,5857.165,1777637699999,26854993.68354,12497,2928.097,13425968.56965,0
1777637700000,4589.51,4611.34,4587.66,4606.78,10486.362,1777638599999,48251447.17535,20272,5081.058,23371261.45068,0
1777638600000,4606.79,4607.16,4591.65,4594.90,10320.452,1777639499999,47474515.71506,16019,3077.901,14156573.68334,0
1777639500000,4594.90,4599.02,4592.65,4593.75,4231.608,1777640399999,19446931.88269,9930,2029.575,9327449.56849,0
1777640400000,4593.75,4600.47,4592.71,4594.19,2918.926,1777641299999,13417814.30026,9212,1466.418,6740956.34085,0
1777641300000,4594.19,4595.97,4589.12,4591.80,3057.856,1777642199999,14045729.49976,8700,1252.208,5751754.22182,0
1777642200000,4591.80,4611.96,4589.48,4611.01,8253.771,1777643099999,37998679.90364,18567,4216.496,19410462.60294,0
1777643100000,4611.00,4631.66,4601.35,4629.80,14950.902,1777643999999,69047102.35806,25023,7722.069,35656531.34153,0
1777644000000,4629.79,4661.00,4628.67,4657.05,22384.031,1777644899999,103965734.99357,32705,11438.761,53126267.23040,0
1777644900000,4657.05,4661.28,4643.60,4644.98,15575.624,1777645799999,72488689.26825,23337,6200.676,28859388.85664,0
1777645800000,4644.98,4646.43,4632.43,4634.78,9497.579,1777646699999,44070497.97811,18205,4054.148,18810093.84260,0
1777646700000,4634.77,4637.99,4629.85,4634.35,7662.910,1777647599999,35507533.46885,14067,4401.315,20394214.33603,0
1777647600000,4634.47,4638.24,4621.56,4638.24,6968.413,1777648499999,32258470.06690,14628,4106.120,19008420.04499,0
1777648500000,4638.23,4642.41,4635.92,4638.64,4591.110,1777649399999,21298635.43196,10242,2348.476,10894261.64389,0
1777649400000,4638.64,4645.80,4637.76,4644.52,5012.385,1777650299999,23266589.84754,9969,2496.561,11587284.95551,0
1777650300000,4644.52,4649.25,4634.11,4644.11,5627.847,1777651199999,26128700.70283,11118,2333.330,10833746.98401,0
1777651200000,4644.11,4645.78,4638.79,4642.95,2477.989,1777652099999,11505061.34734,6698,776.013,3602768.66927,0
1777652100000,4642.96,4650.66,4638.00,4638.02,5257.337,1777652999999,24410819.71001,11003,2251.954,10455877.82524,0
1777653000000,4638.02,4640.97,4633.01,4639.00,4186.562,1777653899999,19412164.38282,8638,1981.899,9189797.99586,0
1777653900000,4639.00,4643.24,4636.80,4639.87,1082.648,1777654799999,5023221.46353,4150,485.661,2253375.10351,0
1777654800000,4639.87,4643.44,4639.01,4640.78,1096.372,1777655699999,5088011.61626,3378,557.620,2587720.95329,0
1777655700000,4640.78,4641.23,4632.04,4632.92,1019.916,1777656599999,4729339.90015,3838,424.353,1967771.44526,0
1777656600000,4632.70,4633.35,4626.65,4628.89,2548.892,1777657499999,11800572.39972,4445,1090.969,5051396.69052,0
1777657500000,4628.90,4636.01,4627.99,4631.09,1795.037,1777658399999,8313444.38225,4223,1123.485,5203245.65377,0
1777658400000,4631.09,4631.96,4617.19,4617.49,2783.849,1777659299999,12870727.01433,5354,1125.770,5205690.99527,0
1777659300000,4617.27,4626.12,4615.61,4625.93,2265.370,1777660199999,10470239.31601,5013,1402.692,6482647.58289,0
