open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1772323200000,66937.00,67089.60,66730.00,66746.40,2682.955,1772324999999,179447815.45140,86780,1071.974,71712329.58130,0
1772325000000,66746.50,66849.10,66578.30,66755.60,2770.900,1772326799999,184830850.70440,84442,1246.959,83179983.22650,0
1772326800000,66755.50,66761.60,65812.00,66309.30,8525.871,1772328599999,565244476.56330,168758,3208.771,212766064.70960,0
1772328600000,66309.30,67686.70,66250.10,67311.60,13706.092,1772330399999,920438112.52580,282939,8124.486,545492423.58640,0
1772330400000,67311.70,68189.00,67305.20,67734.50,14833.395,1772332199999,1006218886.79590,365856,7761.039,526370216.78830,0
1772332200000,67734.50,68139.00,67573.00,67588.30,6473.173,1772333999999,439132700.29100,172910,3084.993,209350521.80890,0
1772334000000,67588.30,67793.40,67361.00,67534.60,4144.271,1772335799999,280057057.04740,112486,2101.797,142076383.16860,0
1772335800000,67534.60,67675.10,67351.00,67474.70,3423.207,1772337599999,231136108.97290,105924,1573.542,106267693.56750,0
1772337600000,67474.80,67582.20,67017.40,67293.20,4770.759,1772339399999,320880474.16460,121912,2108.885,141814074.58700,0
1772339400000,67293.30,67437.20,67226.80,67313.00,2344.620,1772341199999,157847204.59000,69650,1216.730,81920305.43150,0
1772341200000,67313.10,67547.30,67163.50,67422.90,2518.184,1772342999999,169633565.94240,70721,1348.582,90860580.68780,0
1772343000000,67423.00,67526.50,67247.90,67264.20,2106.790,1772344799999,141935195.04560,53512,965.155,65036172.80050,0
1772344800000,67264.20,67320.00,66888.00,67014.00,5325.363,1772346599999,357132085.98540,124074,1895.682,127129717.44270,0
1772346600000,67014.00,67056.50,66757.20,66890.10,2966.528,1772348399999,198361812.63040,86273,1325.959,88666275.92700,0
1772348400000,66890.00,67049.60,66757.90,66956.30,1835.104,1772350199999,122804888.61910,64278,980.102,65597464.21020,0
1772350200000,66956.30,67201.20,66877.50,67113.90,2594.261,1772351999999,174049800.65950,80904,1590.801,106735369.71790,0
1772352000000,67114.00,67275.50,66875.10,67195.70,2456.237,1772353799999,164878130.38250,81809,1342.931,90161767.75270,0
1772353800000,67195.70,67226.50,66429.80,66535.00,5414.243,1772355599999,361166772.45600,149671,2302.760,153580414.62600,0
1772355600000,66535.00,66745.40,66324.50,66587.30,4123.332,1772357399999,274473855.14120,129130,1948.824,129756320.78860,0
1772357400000,66587.30,66625.00,66205.80,66380.10,3817.182,1772359199999,253281510.43720,124129,1876.138,124480790.28800,0
1772359200000,66380.10,66578.80,66160.40,66546.50,2844.575,1772360999999,188894392.22690,94264,1413.028,93843381.01810,0
1772361000000,66546.40,66720.20,66335.70,66430.00,3438.175,1772362799999,228689832.71870,77172,1823.785,121289658.43180,0
1772362800000,66429.90,66638.00,66411.00,66523.10,1985.957,1772364599999,132094574.49840,47289,1335.743,88833526.74430,0
1772364600000,66522.80,66546.10,66344.00,66439.00,1250.341,1772366399999,83059828.86220,43311,534.944,35536043.33550,0
1772366400000,66439.00,66525.90,66382.60,66386.50,1059.655,1772368199999,70429625.72970,40731,539.346,35847543.15830,0
1772368200000,66386.50,66487.70,66211.60,66270.60,2398.375,1772369999999,159088033.92350,78283,1176.946,78070284.50360,0
1772370000000,66270.50,66392.90,66100.00,66294.40,2573.596,1772371799999,170489091.31130,88056,1187.246,78671693.95760,0
1772371800000,66294.40,67333.00,66207.20,66907.10,10528.870,1772373599999,704344529.10050,243814,5724.464,382928515.16190,0
1772373600000,66907.20,67280.00,66720.00,66895.70,5920.609,1772375399999,396482705.64960,216337,2855.780,191291981.84140,0
1772375400000,66895.80,67020.00,66702.90,66817.50,2582.479,1772377199999,172660900.31350,114891,1360.270,90969271.99980,0
1772377200000,66817.50,67219.10,66797.90,67038.30,3419.828,1772378999999,229266391.25730,122699,1989.149,133358368.82460,0
1772379000000,67038.30,67218.00,66770.20,66810.80,2982.229,1772380799999,199945134.60130,91285,1297.915,87039692.71760,0
1772380800000,66810.80,67083.00,66651.00,66992.60,3770.402,1772382599999,252180596.33940,112998,1992.967,133314572.71030,0
1772382600000,66992.70,67036.10,65777.00,66112.20,11111.383,1772384399999,735579588.73200,255489,4515.580,298919296.16690,0
1772384400000,66112.20,66200.00,65681.30,65997.10,7313.750,1772386199999,482416829.90370,206048,3547.440,234047710.41360,0
1772386200000,65997.10,66106.00,65893.30,65956.80,3146.124,1772387999999,207657714.27020,97026,1642.625,108422789.16040,0
1772388000000,65956.70,66656.00,65954.20,66386.50,5586.750,1772389799999,370890050.92390,152591,3235.857,214818917.10190,0
1772389800000,66386.50,66422.00,66209.70,66288.10,2425.524,1772391599999,160865293.74020,63435,1037.521,68815832.11260,0
1772391600000,66288.00,66325.80,65921.70,65976.90,2895.438,1772393399999,191384802.90410,79643,1020.952,67494429.15790,0
1772393400000,65977.00,66078.00,65750.00,65926.00,2842.911,1772395199999,187278240.74580,70843,979.761,64582817.33890,0
1772395200000,65925.90,65932.00,65266.80,65267.30,6500.907,1772396999999,425840107.07430,162277,2600.393,170363610.86560,0
1772397000000,65267.40,65370.10,65030.30,65255.70,4995.938,1772398799999,325731465.20190,155072,2477.029,161519651.87720,0
1772398800000,65255.70,65649.20,65242.00,65556.70,3061.419,1772400599999,200350790.45550,96638,1697.035,111075883.31250,0
1772400600000,65556.70,65726.70,65495.70,65629.30,1744.427,1772402399999,114463439.75430,61707,994.618,65262641.46000,0
1772402400000,65629.20,66888.00,65478.50,65841.60,9444.571,1772404199999,624421134.79810,158065,6135.551,405957833.84140,0
1772404200000,65841.60,65920.50,65011.00,65241.00,7395.198,1772405999999,483242889.44910,185214,3546.242,231695463.80740,0
1772406000000,65241.00,66052.60,65092.40,65609.80,6971.103,1772407799999,457614488.04510,215253,3982.683,261285253.11450,0
1772407800000,65609.70,65850.00,65575.80,65750.00,2088.435,1772409599999,137226264.62940,94774,1293.705,85005586.86270,0
1772409600000,65749.90,66197.40,65726.00,65906.70,3431.947,1772411399999,226255137.29420,147849,1879.551,123916502.94130,0
1772411400000,65906.60,66766.00,65897.30,66472.50,5777.627,1772413199999,383802734.05860,194394,3082.773,204796085.31720,0
1772413200000,66472.60,67082.50,66326.70,66526.00,5529.175,1772414999999,368979036.00450,230503,2887.580,192747923.08960,0
1772415000000,66526.10,66669.50,66380.70,66500.00,1909.673,1772416799999,127062182.26820,104881,906.615,60331578.91630,0
1772416800000,66500.00,66585.00,65842.50,66155.30,4723.524,1772418599999,312362878.37850,161354,2007.142,132720303.45690,0
1772418600000,66155.40,66420.00,66121.40,66242.20,1738.682,1772420399999,115244454.33740,81160,901.654,59762768.94120,0
1772420400000,66242.20,66849.60,66071.00,66745.20,3544.739,1772422199999,235800529.66840,142444,2025.462,134760938.41570,0
1772422200000,66745.20,67014.90,66674.00,66787.30,3390.366,1772423999999,226650401.17500,117131,1785.228,119355701.57210,0
1772424000000,66787.30,66922.10,66627.40,66904.40,2741.543,1772425799999,182972429.38690,95446,1407.831,93963992.63210,0
1772425800000,66904.30,66950.00,66600.10,66825.10,2158.613,1772427599999,144114648.94940,78207,1049.442,70058029.50710,0
1772427600000,66825.20,66869.60,66513.80,66643.20,1938.353,1772429399999,129218896.70350,79386,835.976,55725381.89910,0
1772429400000,66643.10,66966.00,66627.90,66701.20,2101.670,1772431199999,140425761.27420,74098,1087.707,72683404.22430,0
1772431200000,66701.20,66703.10,66015.00,66244.00,4107.797,1772432999999,272488862.43550,136712,1965.830,130368364.19460,0
1772433000000,66244.10,66285.00,66022.50,66176.90,2081.436,1772434799999,137738385.08990,91031,1044.495,69116178.03330,0
1772434800000,66176.80,66182.90,65509.00,65764.60,6138.450,1772436599999,403504712.18180,187707,2499.084,164262580.88480,0
1772436600000,65764.50,65990.60,65750.10,65981.30,2641.698,1772438399999,174035922.03550,75306,1445.158,95217196.93350,0
1772438400000,65981.20,66086.30,65612.40,65705.70,4560.345,1772440199999,300216542.79550,145535,2132.390,140396182.02280,0
1772440200000,65705.70,66279.20,65693.10,66247.90,3124.636,1772441999999,206345900.62660,108556,1761.172,116336068.29280,0
1772442000000,66247.90,66707.50,66162.30,66373.40,5271.826,1772443799999,350007582.44720,150687,2957.381,196361784.31550,0
1772443800000,66373.40,66510.00,66118.80,66132.30,3213.844,1772445599999,213158047.36940,100778,1328.080,88094268.10170,0
1772445600000,66132.30,66327.00,66039.60,66226.70,2233.720,1772447399999,147825319.11480,80352,1165.981,77177561.34710,0
1772447400000,66226.80,66368.50,66100.00,66284.00,1486.917,1772449199999,98466154.52630,57504,772.450,51157332.99310,0
1772449200000,66284.00,66284.00,65973.20,66045.90,3033.529,1772450999999,200527677.81780,90218,1336.739,88363208.74660,0
1772451000000,66045.90,66455.70,65973.10,66329.90,2921.657,1772452799999,193550870.79260,90449,1606.291,106416413.97100,0
1772452800000,66329.80,66369.10,66046.00,66102.70,1882.339,1772454599999,124678771.62520,68862,858.441,56853273.71060,0
1772454600000,66102.80,66118.00,65879.60,65927.80,2471.329,1772456399999,163050239.53890,77648,1100.979,72638678.14930,0
1772456400000,65927.70,66111.90,65717.60,65782.80,4013.882,1772458199999,264496188.80440,132316,1862.693,122758850.66490,0
1772458200000,65782.90,65907.50,65319.90,65412.30,6327.104,1772459999999,414708033.93920,174954,2683.745,175883086.24630,0
1772460000000,65412.30,65640.10,65234.40,65551.90,5625.890,1772461799999,368282223.94270,159803,2780.607,182029693.43130,0
1772461800000,65552.00,67188.00,65547.10,67128.70,21843.386,1772463599999,1452795119.05380,558298,11806.235,785140109.95750,0
1772463600000,67128.60,68777.00,66911.20,68525.30,30684.503,1772465399999,2088134914.14950,642276,16993.353,1156017179.46980,0
1772465400000,68525.30,69588.00,68375.10,69089.10,27669.877,1772467199999,1912558140.42910,517349,14363.881,992948635.47140,0
1772467200000,69089.10,69738.10,68871.60,69341.40,14764.914,1772468999999,1024911890.01740,349298,8305.271,576553528.63620,0
