1777593600000000,76346.58000000,77453.74000000,76320.42000000,77131.08000000,2250.38749000,1777607999999999,172960115.04272430,332552,1110.62270000,85326588.39891440,0
1777608000000000,77131.08000000,77206.38000000,76653.60000000,77130.54000000,2352.39487000,1777622399999999,181246373.43877580,283432,911.22072000,70223069.80229350,0
1777622400000000,77130.54000000,77600.00000000,77048.00000000,77463.98000000,1968.27324000,1777636799999999,152212519.58321600,259648,1145.03400000,88540213.06558710,0
1777636800000000,77463.98000000,78914.12000000,77408.73000000,78445.89000000,6731.19551000,1777651199999999,527305467.46643760,805606,3343.22274000,261832804.12755650,0
1777651200000000,78445.88000000,78683.23000000,78131.02000000,78360.00000000,2194.42574000,1777665599999999,172026718.12860920,435455,1105.07952000,86624900.87584010,0
1777665600000000,78360.01000000,78422.81000000,77752.00000000,78231.13000000,1818.78817000,1777679999999999,142086642.25980130,271765,707.80044000,55302001.53815590,0
1777680000000000,78231.13000000,78514.82000000,78166.48000000,78400.00000000,1196.13639000,1777694399999999,93718172.85236430,193990,583.82095000,45741829.81125020,0
1777694400000000,78399.99000000,78448.99000000,78040.00000000,78220.00000000,1475.03871000,1777708799999999,115371450.50957990,141494,722.07123000,56485091.13971810,0
1777708800000000,78220.00000000,78394.00000000,78094.43000000,78143.08000000,868.13230000,1777723199999999,67933926.49833650,100439,477.78644000,37391028.66692780,0
1777723200000000,78143.09000000,78487.68000000,78108.41000000,78487.67000000,726.08154000,1777737599999999,56872977.98448110,136958,488.16306000,38235836.14109610,0
1777737600000000,78487.67000000,78596.61000000,78310.54000000,78486.00000000,708.03792000,1777751999999999,55550536.21363470,142507,351.15911000,27550837.37258290,0
1777752000000000,78486.23000000,79199.48000000,78418.32000000,78686.85000000,1177.44956000,1777766399999999,92791325.39101330,220755,674.03879000,53129868.54239090,0
1777766400000000,78686.84000000,78754.55000000,78108.75000000,78203.08000000,1047.76325000,1777780799999999,82053926.05437180,208865,391.14324000,30630793.95293370,0
1777780800000000,78203.07000000,78483.67000000,78084.08000000,78363.25000000,794.16967000,1777795199999999,62159747.26219490,131027,408.70730000,32007979.75460030,0
1777795200000000,78363.24000000,78849.22000000,78354.53000000,78656.01000000,948.77514000,1777809599999999,74518710.79692800,151044,645.13713000,50669901.33824710,0
1777809600000000,78656.01000000,78878.77000000,78586.99000000,78668.36000000,1137.85630000,1777823999999999,89575916.35366870,197990,447.34135000,35221697.94591610,0
1777824000000000,78668.36000000,78853.32000000,78558.65000000,78760.32000000,916.26370000,1777838399999999,72097288.59443810,168347,307.95585000,24239754.35818340,0
1777838400000000,78760.32000000,79447.00000000,78484.42000000,78568.57000000,2580.96484000,1777852799999999,203888741.39002710,495201,1264.62925000,99913164.81949440,0
1777852800000000,78568.58000000,80458.00000000,78288.88000000,80316.31000000,5091.61332000,1777867199999999,405849652.36137490,798129,2943.71892000,234688623.77529980,0
1777867200000000,80316.30000000,80635.51000000,79500.00000000,79696.75000000,3632.41236000,1777881599999999,290970799.40581890,446188,1632.40883000,130809915.97150140,0
