open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1769904000000,78706.70,79396.80,78600.20,79056.90,4719.182,1769905799999,373294100.50320,178267,2652.408,209798015.86230,0
1769905800000,79056.90,79190.00,78707.00,78861.20,2652.516,1769907599999,209299634.15020,124750,1373.460,108379721.39490,0
1769907600000,78861.30,78906.30,78352.20,78800.50,3426.986,1769909399999,269290110.56150,135006,1761.040,138390168.93290,0
1769909400000,78800.40,78837.90,78245.70,78504.80,2134.067,1769911199999,167471981.14760,102733,991.675,77820612.53320,0
1769911200000,78504.80,78871.80,78339.60,78596.00,2105.766,1769912999999,165522184.09570,101599,1023.107,80422817.37120,0
1769913000000,78596.10,79024.00,78567.50,78856.40,1659.257,1769914799999,130762802.54580,89861,881.167,69436381.87520,0
1769914800000,78856.40,78971.50,78630.30,78705.70,1537.755,1769916599999,121125748.97890,76994,731.304,57606643.88850,0
1769916600000,78705.70,78880.00,78642.20,78826.30,1010.447,1769918399999,79590620.99620,55244,531.741,41882043.44270,0
1769918400000,78826.30,79094.90,78680.40,78892.30,1570.699,1769920199999,123947451.70580,66051,903.230,71285221.01440,0
1769920200000,78892.40,79019.10,78873.60,78938.10,991.644,1769921999999,78299010.22600,43524,460.255,36339042.01980,0
1769922000000,78938.30,78970.10,78688.00,78906.40,2141.437,1769923799999,168722637.20740,65952,840.800,66249610.06810,0
1769923800000,78906.40,78910.20,78483.00,78583.90,2419.191,1769925599999,190254963.23060,57865,1006.181,79104880.10330,0
1769925600000,78583.90,78791.60,78566.30,78679.80,1054.551,1769927399999,82950464.63860,45958,557.229,43828050.84100,0
1769927400000,78679.80,78758.00,78221.00,78262.90,4127.888,1769929199999,323549846.43860,107945,1621.699,127122085.10840,0
1769929200000,78263.00,78328.90,77899.90,78181.00,3770.025,1769930999999,294492213.85220,125530,1597.305,124782379.89320,0
1769931000000,78180.90,78687.20,78139.50,78320.80,2585.782,1769932799999,202782676.91340,97815,1486.303,116561629.01090,0
1769932800000,78320.80,78500.40,78213.60,78471.90,2156.228,1769934599999,169005125.57980,85865,1058.725,82987323.96700,0
1769934600000,78471.90,78833.00,78420.50,78571.30,1908.258,1769936399999,150124564.81690,74233,1137.577,89491227.43270,0
1769936400000,78571.40,78804.00,78511.00,78645.90,1048.068,1769938199999,82474012.17210,55799,593.497,46705494.95600,0
