symbol,total_trades,win_rate,profit_factor,net_pnl,net_pnl_pct,avg_win,avg_loss,avg_rr,max_drawdown_pct,sharpe,final_balance,avg_bars_held,total_commission,longs,shorts
HYPE,18,0.6666666666666666,0.747,-156.99,-1.57,38.69,-103.54,0.374,4.93,-2.052,9843.01,1.0,85.38,9,9
XAU,6,0.6666666666666666,0.855,-30.49,-0.3,44.96,-105.17,0.428,1.7,-1.136,9969.51,1.0,29.85,2,4
XAG,6,0.3333333333333333,0.272,-303.29,-3.03,56.57,-104.11,0.543,4.14,-10.593,9696.71,1.0,29.7,1,5
CL,3,0.6666666666666666,0.645,-37.36,-0.37,34.01,-105.38,0.323,1.05,-3.008,9962.64,1.0,14.94,2,1
