symbol,direction,entry_price,exit_price,size,pnl,pnl_pct,result,market_state,regime_score,sl,tp1,tp2,entry_time,exit_time,bars_held,commission,strategy,entry_type,e_entry,e_context,e_fit,e_total,e_adx,e_atr_exp,e_vol_ratio,e_ema_dist_atr,e_rsi,realized_r,mae,mfe,hour_utc,e_state
ETH,LONG,3098.44,3108.405855478462,4.4352294350884955,35.84542622288682,0.3584542622288682,WIN,Range,54.87543367970512,3108.405855478462,3117.03064,3135.62128,,2026-01-11T16:00:00+00:00,1,8.355429341029735,MACD_Trend,trend_follow,82.09722387913507,74.64006516287905,29.897446000867667,64.20014290077805,23.9066588557248,1.0,1.7759984786509277,1.2288455342832891,63.150663606082595,0.268,-0.15545457283881028,0.6968560522929779,16,Trend
ETH,LONG,3324.45,3364.3433999999997,1.022840018041265,35.34355897643329,0.3534355897643329,WIN,Trend,83.4087779181498,3324.45,3344.3967,3364.3433999999997,,2026-01-15T09:30:00+00:00,1,5.461006999295056,MACD_Trend,trend_follow,74.83312759096434,51.1250188336745,83.40982751517764,70.29370494104137,22.77820478186863,1.0,0.7775364422216763,0.9577923176468216,55.77241220130419,1.0,-0.10101921621119647,1.1114620463535358,9,Trend
ETH,LONG,3300.99,3312.8962949352876,2.4783566346588652,24.030582705358718,0.2403058270535872,WIN,Trend,67.10963065255206,3312.8962949352876,3320.79594,3340.6018799999997,,2026-01-17T21:15:00+00:00,1,5.477462341719677,ADX_Trend,trend_follow,68.32942893299898,72.06411937154266,67.03247507244974,69.06074990639732,25.215624553378184,1.0,0.8188719416269433,0.7153952501913363,58.3097538189921,0.301,0.0,0.6851479909562568,21,Trend
ETH,LONG,3332.31,3343.7548884451735,2.5651887917108525,23.864928553590637,0.23864928553590636,WIN,Range,53.522280254549734,3343.7548884451735,3352.30386,3372.29772,,2026-01-18T20:30:00+00:00,1,5.493371008352157,ADX_Trend,trend_follow,64.84040595464285,72.53985825096376,66.39489915635559,67.61658960405295,25.324692547977236,1.0,0.29354769288156224,0.9689592889072078,60.38413156703879,0.286,-0.05126573858173777,0.7189707240122717,20,Trend
ETH,SHORT,2987.74,2987.74,24725687429987.63,19.24345059447002,0.19243450594470018,WIN,Range,15.827055626441902,2987.74,2969.8135599999996,2951.88712,,2026-01-22T13:45:00+00:00,1,5.48223683551761,MACD_Trend,trend_follow,68.30481412392457,51.3146747569131,84.1729443735581,67.96821138871118,21.934313742320462,1.0,1.2941586369430709,1.1005458592862922,39.04237209887641,0.0,-0.30262561891821144,0.578475146208611,13,Trend
ETH,SHORT,2933.43,2968.63116,1.5021296672782232,-57.309532054201824,-0.5730953205420182,LOSS,Range,15.081660859523092,2968.63116,2915.82942,2898.2288399999998,,2026-01-23T02:00:00+00:00,1,4.432825295592712,ADX_Trend,trend_follow,42.485303997656665,58.85131640937279,84.86693427089925,60.10959680314428,23.293879172479972,1.0,0.6598303079439575,0.9183455768990906,40.106697838559064,-1.0,-0.9695703209780617,0.0,2,Trend
ETH,SHORT,2914.64,2914.64,24657069320373.547,19.190046651465945,0.19190046651465945,WIN,Trend,15.350297515846275,2914.64,2897.15216,2879.66432,,2026-01-23T15:00:00+00:00,1,5.467022668907603,MACD_Trend,trend_follow,71.04697311651638,52.44691952367901,84.64970248415372,69.54777584895638,23.999614310563484,1.0,2.750247860416026,1.2201458182380753,37.96621435870347,0.0,0.0,0.0,15,Trend
ETH,LONG,2927.44,2927.44,24717170926842.348,19.212110162686624,0.19212110162686624,WIN,Range,41.73504340023915,2927.44,2945.00464,2962.56928,,2026-01-26T22:00:00+00:00,1,5.505060764155721,MACD_Trend,trend_follow,69.65248293169395,73.01793064743893,37.6217020018423,61.05288296746195,23.52892586858321,1.0,0.42711800843064757,0.952926804529052,59.64356948244524,0.0,-0.7762755171754155,0.21093515153170955,22,Trend
ETH,SHORT,2912.71,2947.66252,1.8903677736522375,-71.61224048532786,-0.7161224048532786,LOSS,Breakout,60.18363985861592,2947.66252,2895.23374,2877.75748,,2026-01-27T16:00:00+00:00,1,5.539123069390994,MACD_Trend,trend_follow,69.64752743553859,54.966362015925625,65.41975280470967,63.97484542040602,22.114160960309707,1.0,1.4125081005054902,1.3561820609123014,39.35406318093287,-1.0,-1.7249113940854612,0.2912522473343792,16,Trend
ETH,LONG,3016.84,3016.84,37871332011192.484,29.43654857427732,0.2943654857427732,WIN,Range,70.82333125242525,3016.84,3034.94104,3053.04208,,2026-01-28T14:30:00+00:00,1,8.434783436915165,MACD_Trend,trend_follow,76.59637514869294,66.31016630605134,70.43774763725995,71.66292424247055,24.80974045532931,1.0,1.0314787675106885,0.6648294100585794,55.96397124517158,0.0,0.0,0.6502388813018468,14,Trend
ETH,SHORT,2316.79,2345.1505036033186,2.323294633001293,-71.30532989752244,-0.7130532989752244,LOSS,Range,9.137682117216706,2345.1505036033186,2302.6097481983406,2288.4294963966813,,2026-02-02T22:15:00+00:00,1,5.4155240867160765,MACD_Trend,trend_follow,64.95750393057466,25.690347135158614,90.86231788278329,60.94880107761244,23.813665286114993,1.0,1.0642182098668387,1.0872458152119724,41.24880823059049,-1.0,-0.8850336492989072,0.0,22,Trend
ETH,SHORT,2087.63,2087.63,24548070777388.547,20.78116604942166,0.2078116604942166,WIN,Trend,8.673225716807405,2087.63,2069.5494149507913,2051.4688299015825,,2026-02-05T11:45:00+00:00,1,3.7669047279668852,MACD_Trend,trend_follow,69.57114569630517,48.450897250893625,91.32677428319259,69.76175973874793,20.00258617590698,1.0,1.6299683844349753,0.8412747867077961,42.97661053160652,0.0,0.0,0.0,11,Trend
