symbol,total_trades,win_rate,profit_factor,net_pnl,net_pnl_pct,avg_win,avg_loss,avg_rr,max_drawdown_pct,sharpe,final_balance,avg_bars_held,total_commission,longs,shorts
BTC,79,0.7848101265822784,1.368,608.36,6.08,36.48,-97.25,0.375,2.48,2.128,10608.36,1.0,601.74,49,30
ETH,63,0.7301587301587301,1.047,65.63,0.66,31.64,-81.75,0.387,3.47,0.313,10065.63,1.0,404.91,33,30
SOL,17,0.7058823529411765,0.852,-60.56,-0.61,29.16,-82.11,0.355,2.33,-1.087,9939.44,1.0,100.47,12,5
XRP,70,0.8142857142857143,1.634,820.92,8.21,37.11,-99.56,0.373,3.0,3.225,10820.92,1.0,526.52,31,39
